Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer
Carnival Island,PS3,2011,Misc,Sony Computer Entertainment,13,6,0,4,23,66,25,5.2,5,Magic Pixel Games
Tom Clancy's Rainbow Six: Siege,PC,2015,Shooter,Ubisoft,13,8,0,2,23,79,37,6.9,734,Ubisoft Montreal
Me & My Katamari,PSP,2005,Puzzle,Namco Bandai Games,13,1,8,0,23,,,,,
What's Cooking? Jamie Oliver,DS,2008,Simulation,Atari,20,1,0,2,23,,,,,
Genji: Dawn of the Samurai,PS2,2005,Action,Sony Computer Entertainment,11,9,0,3,23,74,49,8.3,19,Game Republic
The Idolm@ster SP: Wandering Star / Perfect Sun / Missing Moon,PSP,2009,Adventure,Namco Bandai Games,0,0,23,0,23,,,,,
Critical Depth,PS,1997,Action,GT Interactive,13,9,0,1,23,,,,,
Barbie as The Island Princess,GBA,2007,Adventure,Activision,16,6,0,0,23,,,,,
Tales of VS.,PSP,2009,Fighting,Namco Bandai Games,0,0,23,0,23,,,,,
Saka-Tsuku DS: Touch and Direct,DS,2008,Sports,Sega,0,0,23,0,23,,,,,
The Italian Job,PS2,2003,Racing,Eidos Interactive,11,9,0,3,23,55,18,6.3,4,Climax Group
Mega Man Battle Network 5: Team Colonel / Protoman,GBA,2004,Role-Playing,Capcom,16,6,0,0,23,,,,,
TrackMania: Build to Race,Wii,2010,Racing,Focus Home Interactive,9,11,0,2,23,74,17,6.8,5,Firebrand Games
Ultimate Band,Wii,2008,Misc,Disney Interactive Studios,18,3,0,2,23,59,17,5.5,4,Disney Interactive Studios
Star Ocean,SNES,1996,Role-Playing,Enix Corporation,0,0,23,0,23,,,,,
Freedom Fighters,XB,2003,Shooter,Electronic Arts,17,5,0,1,23,82,23,8.2,23,Io Interactive
Barbie and the Three Musketeers,Wii,2009,Adventure,Activision,21,0,0,2,23,,,tbd,,Activision
Madden NFL 12,PSP,2011,Sports,Electronic Arts,21,0,0,2,23,,,tbd,,EA Tiburon
Soldier of Fortune II: Double Helix,XB,2003,Shooter,Activision,17,5,0,1,23,61,26,6.5,13,Gratuitous Games
Disney Princess: Enchanted Journey,PS2,2007,Adventure,Disney Interactive Studios,11,9,0,3,23,,,tbd,,Papaya Studios
Rock Band Track Pack Volume 1,Wii,2008,Misc,MTV Games,17,4,0,2,23,,,,,
Lunar Knights,DS,2006,Role-Playing,Konami Digital Entertainment,17,1,4,1,23,82,39,7.8,25,Kojima Productions
Hot Wheels: Beat That!,DS,2007,Racing,Activision,21,0,0,2,23,,,tbd,,Human Soft
Naruto: Ninja Council 2 European Version,DS,2005,Fighting,Tomy Corporation,0,0,23,0,23,,,,,
Final Fantasy XI: Treasures of Aht Urhgan,PS2,2006,Role-Playing,Square Enix,6,5,10,2,23,87,4,7.1,13,Square Enix
WWE All Stars,3DS,2011,Fighting,THQ,15,6,0,2,23,71,12,7.4,7,THQ
Alundra,PS,1997,Role-Playing,Psygnosis,13,9,0,1,23,86,9,9,41,Matrix Software
World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,PS3,2010,Sports,Konami Digital Entertainment,0,0,23,0,23,,,,,
Mortal Kombat: Armageddon,Wii,2007,Fighting,Midway Games,19,2,0,2,23,71,29,8.4,33,JGI Entertainment
Madden NFL 13,WiiU,2012,Sports,Electronic Arts,21,0,0,2,23,75,9,6.7,30,EA Tiburon
Bratz: Girlz Really Rock,PS2,2008,Action,THQ,11,9,0,3,23,,,8.4,7,Blitz Games
Super R-Type,SNES,1991,Shooter,Nintendo,0,0,23,0,23,,,,,
Rampage 2: Universal Tour,PS,1998,Action,GT Interactive,13,9,0,1,23,,,,,
Super Robot Taisen F Kanketsuhen,PS,1999,Strategy,Banpresto,0,0,21,1,23,,,,,
Transformers: Devastation,PS4,2015,Action,Activision,10,9,0,4,23,77,50,7.5,160,PlatinumGames
Cars 2,3DS,2011,Racing,Disney Interactive Studios,21,0,0,2,23,,,,,
Hannah Montana: The Movie,PS3,2009,Adventure,Disney Interactive Studios,14,6,0,3,23,,,3.4,17,n-Space
BlowOut,PS2,2003,Shooter,Zoo Digital Publishing,11,9,0,3,23,58,12,6.2,5,Terminal Reality
NFL Blitz Pro,PS2,2003,Sports,Midway Games,11,9,0,3,23,73,20,8.5,14,Midway
Tiger Woods PGA Tour 2003,GC,2002,Sports,Electronic Arts,18,5,0,1,23,90,10,8,5,EA Sports
The Raiden Project,PS,1995,Shooter,Ocean,6,4,12,1,23,,,,,
Tales of Berseria,PS4,2016,Role-Playing,Namco Bandai Games,0,0,23,0,23,,,,,Bandai Namco Games
I Love Horses,DS,2008,Simulation,GSP,21,0,0,1,23,,,tbd,,Destineer
Pinball Hall of Fame: The Gottlieb Collection,PSP,2005,Misc,Play It,20,1,0,2,23,73,27,8.1,13,Farsight Studios
Pocket Fighter,PS,1997,Fighting,Virgin Interactive,6,4,12,1,23,,,,,
Disgaea: Afternoon of Darkness,PSP,2006,Role-Playing,Tecmo Koei,15,1,4,2,23,87,37,8.2,69,Nippon Ichi Software
Bicycle Casino 2005,XB,2004,Misc,Zoo Digital Publishing,17,5,0,1,23,,,,,
Toukiden Kiwami,PSV,2014,Action,Tecmo Koei,2,2,17,1,23,82,5,8.6,42,"Omega Force, Koei Tecmo Games"
Dark Souls II,XOne,2015,Role-Playing,Namco Bandai Games,14,7,0,2,23,,,,,
Hello Kitty Seasons,Wii,2010,Adventure,Namco Bandai Games,15,6,0,2,23,,,tbd,,Sanrio Digital
.hack//G.U. Vol.2//Reminisce,PS2,2006,Role-Playing,Namco Bandai Games,11,9,0,3,23,,,,,
SSX On Tour,PSP,2005,Sports,Electronic Arts,19,2,0,2,23,79,23,8.1,44,EA Montreal
NCAA Football 09,PSP,2008,Sports,Electronic Arts,21,0,0,2,23,,,tbd,,EA Canada
Hooked! Real Motion Fishing,Wii,2007,Sports,505 Games,21,0,0,2,23,,,,,
Rune Factory: Tides of Destiny,PS3,2011,Role-Playing,Marvelous Interactive,14,0,7,2,23,55,12,7.9,44,Neverland
Ys Seven,PSP,2009,Role-Playing,Falcom Corporation,14,0,8,2,23,79,27,8.5,65,Falcom
NCAA GameBreaker 2004,PS2,2003,Sports,Sony Computer Entertainment,11,9,0,3,23,61,15,tbd,,989 Sports
Ninja Gaiden Sigma,PSV,2012,Action,Tecmo Koei,10,5,4,3,23,,,,,
Lumines: Electronic Symphony,PSV,2012,Misc,Ubisoft,9,9,1,4,23,83,65,7.8,85,Q Entertainment
Tony Hawk's Proving Ground,DS,2007,Sports,Activision,20,1,0,2,23,79,21,6.7,6,Vicarious Visions
The Polar Express,PS2,2004,Adventure,THQ,11,9,0,3,23,39,10,4.3,6,Blue Tongue
Bass Pro Shops: The Hunt,Wii,2010,Sports,XS Games,21,0,0,1,23,,,tbd,,Griffin International
AC/DC LIVE: Rock Band Track Pack,X360,2008,Misc,MTV Games,21,0,0,2,23,63,16,4.9,10,Harmonix Music Systems
Buzz! Junior: RoboJam,PS2,2007,Misc,Sony Computer Entertainment,11,9,0,3,23,,,,,
Valhalla Knights 2,PSP,2008,Role-Playing,Rising Star Games,9,0,12,1,23,50,13,5.4,13,K2
Deca Sports 3,Wii,2010,Sports,Hudson Soft,14,7,0,2,23,41,7,tbd,,"Hudson, NATSUME ATARI Inc."
Tetris Attack,GB,1996,Puzzle,Nintendo,0,0,23,0,23,,,,,
Spec Ops: The Line,PC,2012,Shooter,Take-Two Interactive,11,9,0,2,23,76,16,8.2,1237,Yager
Saint Seiya: Sanctuary Battle,PS3,2011,Action,Namco Bandai Games,0,9,11,2,23,62,14,7.3,34,Dimps Corporation
NBA ShootOut 2003,PS2,2002,Sports,Sony Computer Entertainment,11,9,0,3,23,62,22,5.9,8,SCEA
Shin Nippon Pro Wrestling: Toukon Retsuden 3,PS,1998,Fighting,Tomy Corporation,0,0,21,1,23,,,,,
Big Beach Sports 2,Wii,N/A,Sports,THQ,9,11,0,2,23,,,tbd,,Jet Black Games
Digimon World DS (JP sales),DS,2006,Role-Playing,Namco Bandai Games,0,0,23,0,23,,,,,
NHL FaceOff 2003,PS2,2002,Sports,Sony Computer Entertainment,11,9,0,3,23,55,20,tbd,,989 Sports
Jersey Devil,PS,1997,Platform,Ocean,13,9,0,1,23,,,,,
Need For Speed: Undercover,DS,2008,Racing,Electronic Arts,18,3,0,2,23,59,7,6.7,6,Firebrand Games
Guitar Hero Live,X360,2015,Misc,Activision,13,8,0,2,23,,,5.5,19,Activision
Rogue Ops,PS2,2003,Action,Kemco,11,9,0,3,23,61,26,9.2,6,Bits Studios
Vancouver 2010 - The Official Video Game of the Olympic Winter Games,X360,2010,Sports,Sega,8,12,0,2,23,,,,,
3rd Super Robot Wars Z Jigoku Hen,PS3,2014,Role-Playing,Namco Bandai Games,0,0,23,0,23,,,,,
Killer is Dead,PS3,2013,Action,Deep Silver,12,3,5,3,23,64,39,7.9,215,Grasshopper Manufacture
F1 2014,X360,2014,Racing,Codemasters,8,13,0,2,23,64,14,4.1,20,Codemasters Birmingham
New Carnival Games,DS,2010,Misc,Take-Two Interactive,16,5,0,2,22,,,tbd,,Cat Daddy Games
Legion: The Legend of Excalibur,PS2,2002,Action,Midway Games,11,9,0,3,22,51,21,7,6,7 Studios
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,2016,Action,GungHo,0,0,22,0,22,,,,,
Gekijouban Macross F: Sayonara no Tsubasa - Hybrid Pack,PS3,2011,Action,Namco Bandai Games,0,0,22,0,22,,,,,
TNA iMPACT!,PS2,2008,Fighting,Midway Games,10,0,0,12,22,,,,,
LEGO Jurassic World,PSV,2015,Action,Warner Bros. Interactive Entertainment,5,13,0,5,22,,,7.6,11,TT Games
Def Jam: Fight for NY,GC,2004,Fighting,Electronic Arts,17,5,0,1,22,,,,,
Sword Art Online: Infinity Moment,PSP,2013,Role-Playing,Namco Bandai Games,0,0,22,0,22,,,,,
Spartan: Total Warrior,PS2,2005,Action,Sega,11,9,0,3,22,74,33,8.4,65,Creative Assembly
EX Monopoly,GBA,2001,Misc,Takara,16,6,0,0,22,,,,,
Ultimate Duck Hunting: Hunting & Retrieving Ducks,Wii,2007,Sports,Detn8 Games,21,0,0,2,22,,,,,
64 de Hakken! Tamagotchi Minna de Tamagotchi World,N64,1997,Misc,Namco Bandai Games,0,0,22,0,22,,,,,
Family Party: 30 Great Games Winter Fun,Wii,2010,Sports,D3Publisher,21,0,0,1,22,,,tbd,,Tamsoft
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,GC,2003,Misc,Acclaim Entertainment,17,4,0,1,22,,,,,
Deadly Duck,2600,1981,Shooter,20th Century Fox Video Games,21,1,0,0,22,,,,,
Assault,2600,1982,Action,Bomb,21,1,0,0,22,,,,,
Reactor,2600,1981,Action,Parker Bros.,21,1,0,0,22,,,,,
Gundam Battle Chronicle,PSP,2007,Action,Namco Bandai Games,0,0,22,0,22,,,,,
Zumba Fitness: World Party,Wii,2013,Misc,Majesco Entertainment,11,10,0,2,22,,,tbd,,Zoe Mode
Danball Senki Boost,PSP,2011,Action,Level 5,0,0,22,0,22,,,,,
Justice League Heroes,PSP,2006,Role-Playing,Eidos Interactive,20,1,0,2,22,72,13,7.8,5,Snowblind Studios
101-in-1 Party Megamix Wii,Wii,2009,Misc,Nordcurrent,19,1,0,2,22,,,,,
Conflict: Vietnam,XB,2004,Shooter,SCi,17,5,0,1,22,60,40,7.3,9,Pivotal Games
Hatsune Miku: Project Mirai 2,3DS,2013,Action,Sega,0,0,22,0,22,,,,,
Whirl Tour,PS2,2002,Sports,Crave Entertainment,11,9,0,3,22,58,9,7,5,Papaya Studios
Time Crisis: Crisis Zone,PS2,2004,Shooter,Namco Bandai Games,11,9,0,3,22,66,38,tbd,,Namco
Momotarou Dentetsu 15,PS2,2005,Misc,Hudson Soft,0,0,22,0,22,,,,,
Ben 10 Ultimate Alien: Cosmic Destruction,PS2,2010,Platform,D3Publisher,13,6,0,4,22,,,tbd,,Papaya Studios
NBA Street: Showdown,PSP,2005,Sports,Electronic Arts,20,0,0,2,22,75,25,8.5,15,EA Canada
We Sing Pop!,Wii,2012,Misc,Nordic Games,5,15,0,2,22,,,,,
pro evolution soccer 2011,Wii,2010,Sports,Konami Digital Entertainment,7,10,3,2,22,78,9,5.4,7,Konami
Skies of Arcadia Legends,GC,2002,Role-Playing,Atari,17,4,0,1,22,84,31,9.2,95,Overworks
MotoGP 08,PS2,2008,Racing,Capcom,1,0,0,21,22,,,tbd,,Milestone S.r.l
Sengoku Basara 3 Utage,PS3,2011,Action,Capcom,0,0,22,0,22,,,,,
Breath of Fire,GBA,2001,Role-Playing,Ubisoft,11,4,6,0,22,79,17,8.8,9,Capcom
Last Window: The Secret of Cape West,DS,2010,Adventure,Nintendo,0,11,9,2,22,,,,,
Risen 2: Dark Waters,PC,2012,Role-Playing,Deep Silver,0,19,0,3,22,69,51,5.6,751,Piranha Bytes
Petz Monkeyz House,DS,2008,Simulation,Ubisoft,20,0,0,2,22,,,tbd,,Ubisoft
Ford vs. Chevy,PS2,2005,Racing,Global Star,11,9,0,3,22,,,8,5,Eutechnyx
LEGO The Hobbit,WiiU,2014,Action,Warner Bros. Interactive Entertainment,9,11,0,2,22,,,7.8,11,TT Games
Darksiders II,PS4,2015,Action,Nordic Games,9,10,0,4,22,,,,,
NCAA Football 2005,GC,2004,Sports,Electronic Arts,17,4,0,1,22,88,18,9,5,EA Sports
Hamtaro: Ham-Ham Games,GBA,2004,Sports,Nintendo,16,6,0,0,22,77,20,7.8,6,Alphadream Corporation
Danny Phantom: The Ultimate Enemy,GBA,2005,Action,THQ,16,6,0,0,22,,,8.8,4,Altron
Cloudy With a Chance of Meatballs,DS,2009,Platform,Ubisoft,20,1,0,2,22,,,tbd,,Ubisoft
Soul Sacrifice Delta,PSV,2014,Action,Sony Computer Entertainment,0,8,12,2,22,82,24,8.4,125,SCE Japan Studio
Crazy Climber,2600,1981,Action,Atari,21,1,0,0,22,,,,,
NASCAR 2011: The Game,Wii,2011,Racing,Activision,21,0,0,1,22,42,5,3.1,9,Eutechnyx
Super Adventure Island,SNES,1992,Platform,Hudson Soft,0,0,22,0,22,,,,,
Discovery Kids: Dolphin Discovery,DS,2008,Simulation,505 Games,20,0,0,1,22,,,tbd,,505 Games
Spider-Man: Edge of Time,PS3,2011,Action,Activision,13,7,0,3,22,58,43,7.2,29,Beenox
Bust-A-Move 4,PS,1998,Puzzle,Acclaim Entertainment,12,8,0,1,22,,,,,
Ride,PS4,2015,Racing,Milestone S.r.l.,4,13,3,3,22,66,30,7,47,Milestone S.r.l
NFL Quarterback Club 97,PS,1996,Sports,Acclaim Entertainment,12,8,0,1,22,,,,,
Spirit Camera: The Cursed Memoir,3DS,2012,Adventure,Nintendo,13,2,6,1,22,54,35,6.1,28,Tecmo Koei Games
Yu-Gi-Oh! GX: Tag Force 3,PSP,2008,Strategy,Konami Digital Entertainment,0,3,18,1,22,,,,,
Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004,Fighting,Namco Bandai Games,3,2,17,1,22,61,12,8,5,Aki Corp.
FaceBreaker K.O. Party,Wii,2008,Fighting,Electronic Arts,19,1,0,2,22,61,15,5.6,7,EA Canada
Dino Stalker,PS2,2002,Shooter,Capcom,7,6,8,2,22,50,18,6.3,8,Capcom
Mobile Suit Gundam Seed,PS2,2003,Action,Namco Bandai Games,0,0,22,0,22,,,,,
Rock Band Track Pack: Classic Rock,Wii,2009,Misc,MTV Games,21,0,0,2,22,,,tbd,,Harmonix Music Systems
Petz Rescue: Endangered Paradise,DS,2008,Adventure,Ubisoft,21,0,0,2,22,,,tbd,,Phoenix Interactive Entertainment
Rapala's Fishing Frenzy,Wii,2008,Sports,Activision,20,0,0,2,22,61,5,tbd,,FUN Labs
Mega Man Zero 3,GBA,2004,Platform,Capcom,16,6,0,0,22,77,21,9,22,Inti
Super Swing Golf,Wii,2006,Sports,Nintendo,14,1,7,1,22,72,44,7.8,15,"Tecmo, Ntreev Soft"
G-Force,PS3,2009,Action,Disney Interactive Studios,13,6,0,3,22,68,22,7.6,7,Eurocom Entertainment Software
Luminous Arc 2,DS,2008,Role-Playing,Rising Star Games,20,0,0,2,22,73,19,7.7,14,"Image Epoch, Imageepoch"
Barbie Super Sports,PS,1999,Sports,Mattel Interactive,12,8,0,1,22,,,,,
Shinobi,3DS,2011,Platform,Sega,14,7,0,2,22,69,33,7.3,33,Griptonite Games
Nicktoons Collection: Game Boy Advance Video Volume 2,GBA,2004,Misc,N/A,16,6,0,0,22,,,,,
Tony Hawk's Downhill Jam,DS,2006,Sports,Activision,20,0,0,2,22,76,34,7,7,Vicarious Visions
Risen 2: Dark Waters,PS3,2012,Role-Playing,Deep Silver,4,13,1,4,22,47,13,5.2,37,Piranha Bytes
Age of Empires: The Age of Kings,DS,2006,Strategy,THQ,18,2,0,2,22,80,38,7.9,59,Backbone Entertainment
Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,16,6,0,0,22,66,10,tbd,,Mistic Software
Muramasa: The Demon Blade,PSV,2013,Role-Playing,Marvelous Entertainment,10,0,10,2,22,,,,,
MotoGP 09/10,PS3,2010,Racing,Capcom,5,13,0,4,22,70,42,5.4,28,Monumental Games
The Lord of the Rings: The Third Age,GBA,2004,Role-Playing,Electronic Arts,16,6,0,0,22,67,7,8.5,12,Griptonite Games
Dinosaur King,DS,2007,Strategy,Sega,20,0,0,2,22,61,13,8,9,Climax Entertainment
The Suffering,XB,2004,Action,Midway Games,16,5,0,1,22,77,44,8.8,23,Surreal Software
Pitfall: The Big Adventure,Wii,2008,Adventure,Activision,19,2,0,2,22,,,6.3,6,Edge of Reality
Tetris Worlds,GC,2002,Puzzle,THQ,17,4,0,1,22,47,10,5.6,8,Radical Entertainment
Chou-Kuukan Night Pro Yakyuu King(higher JP sales),N64,1996,Sports,Imagineer,0,0,22,0,22,,,,,
Mega Man 64,N64,2000,Action,Capcom,14,3,5,0,22,,,,,
Rampage 2: Universal Tour,N64,1999,Action,GT Interactive,18,4,0,0,22,,,,,
Ms. Pac-Man: Maze Madness,N64,2000,Puzzle,Namco Bandai Games,18,4,0,0,22,,,,,
ECW Hardcore Revolution,N64,2000,Fighting,Acclaim Entertainment,18,4,0,0,22,,,,,
The Sims 4: Get Together,PC,2015,Simulation,Electronic Arts,5,15,0,2,22,72,16,7.3,117,Maxis
Tales of Graces,Wii,2009,Role-Playing,Namco Bandai Games,0,0,22,0,22,,,,,
Viewtiful Joe 2,GC,2004,Action,Capcom,17,4,0,1,22,86,39,8.3,19,Clover Studio
Neopets Puzzle Adventure,Wii,2008,Puzzle,Capcom,18,2,0,2,22,52,11,tbd,,Infinite Interactive
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,2002,Misc,Acclaim Entertainment,11,8,0,3,22,,,,,
LEGO Harry Potter: Years 5-7,PC,N/A,Action,Warner Bros. Interactive Entertainment,5,14,0,3,22,80,5,8.5,44,Traveller's Tales
Child of Eden,PS3,2011,Shooter,Ubisoft,9,10,0,4,22,81,21,7.8,25,Q Entertainment
All Star Karate,Wii,2010,Action,THQ,13,7,0,2,22,46,4,tbd,,THQ
Dragon Ball: Origins (JP & incomplete US sales),DS,2008,Adventure,Atari,4,0,17,0,22,,,,,
NBA Jam Extreme,PS,1996,Sports,Acclaim Entertainment,12,8,0,1,22,,,,,
Naruto Shippuden: Ninja Council 4,DS,2007,Action,Nintendo,8,0,13,1,22,49,10,tbd,,"Aspect, Takara Tomy"
Touch the Dead,DS,2007,Shooter,Eidos Interactive,20,0,0,2,22,56,31,5.6,5,Secret Stash Games
Worms: Battle Islands,Wii,2010,Strategy,THQ,10,10,0,2,22,58,13,tbd,,Team 17
Nickelodeon Party Blast,XB,2002,Misc,Infogrames,16,5,0,1,22,19,4,4.3,7,Data Design Interactive
Jackass the Game,PSP,2007,Action,Empire Interactive,9,8,0,5,22,58,21,7,12,Sidhe Interactive
Ragnarok DS,DS,2008,Role-Playing,GungHo,10,0,11,1,22,53,19,5.8,17,GungHo
NHL Championship 2000,PS,1998,Sports,Fox Interactive,12,8,0,1,22,,,,,
ATV Quad Kings,Wii,2009,Racing,Zoo Digital Publishing,20,0,0,1,22,33,4,tbd,,Beyond Reality
Shellshock: Nam '67,XB,2004,Shooter,Eidos Interactive,16,5,0,1,22,58,37,7,14,Guerrilla
Ultimate Band,DS,2008,Misc,Disney Interactive Studios,19,2,0,2,22,69,11,tbd,,Fall Line Studio
Kartia: The Word of Fate,PS,1998,Strategy,Konami Digital Entertainment,5,3,12,1,22,,,,,
Karaoke Revolution Glee 2: Road to Regionals,Wii,2011,Misc,Konami Digital Entertainment,14,6,0,2,22,,,,,
Magna Carta: Tears of Blood,PS2,2004,Role-Playing,505 Games,11,8,0,3,22,66,34,7,22,SoftMax
All-Star Baseball 2002,GC,2001,Sports,Acclaim Entertainment,17,4,0,1,22,66,17,5.6,9,Acclaim
Lethal Skies Elite Pilot: Team SW,PS2,2001,Simulation,Sammy Corporation,11,8,0,3,22,59,16,tbd,,Bit Town
Capcom vs. SNK,DC,2000,Fighting,Virgin Interactive,0,0,22,0,22,80,17,9,24,Capcom
Pinball Hall of Fame: The Williams Collection,PS3,2009,Misc,Crave Entertainment,20,0,0,2,22,82,16,7.9,8,Farsight Studios
Aliens vs Predator: Requiem,PSP,2007,Action,Vivendi Games,3,12,0,7,22,49,34,5.6,19,Rebellion
Dishonored 2,XOne,2016,Action,Bethesda Softworks,12,8,0,2,22,88,22,6.8,156,Arkane Studios
Asphalt: Injection,PSV,2011,Action,Ubisoft,13,6,0,3,22,49,33,4.8,28,Ubisoft
Tamagotchi no KiraKira Omisecchi,DS,2008,Misc,Namco Bandai Games,0,0,22,0,22,,,,,
From Russia With Love,GC,2005,Action,Electronic Arts,17,4,0,1,22,70,20,8.5,13,Electronic Arts
Family Fest presents: Movie Games,Wii,2008,Action,Ubisoft,20,1,0,2,22,,,tbd,,Phoenix Entertainment
Guitar Hero: Smash Hits,PS2,2009,Misc,Activision,11,1,0,10,22,69,6,8.3,6,Beenox
NBA Live 09 All-Play,Wii,2008,Sports,Electronic Arts,19,1,0,2,22,51,11,5.9,14,EA Sports
NFL Quarterback Club 2002,PS2,2001,Sports,Acclaim Entertainment,11,8,0,3,22,67,12,7.8,6,Acclaim
NCAA Basketball 09,X360,2008,Sports,Electronic Arts,20,0,0,2,22,70,23,5.6,8,EA Canada
Kirby's Star Stacker,GB,1997,Puzzle,Nintendo,0,0,22,0,22,,,,,
Shin Megami Tensei: Persona,PSP,2009,Role-Playing,Atlus,8,0,13,1,22,78,30,8,47,ITL
Kung Fu Panda 2,DS,2011,Action,THQ,15,5,0,2,22,,,,,
Lords of the Fallen,XOne,2014,Role-Playing,Square Enix,10,10,0,2,22,71,13,6.7,166,"City Interactive, Deck 13"
LEGO The Lord of the Rings,PC,2012,Action,Warner Bros. Interactive Entertainment,7,13,0,3,22,80,6,8.2,127,TT Games
Kidz Bop Dance Party! The Video Game,Wii,2010,Misc,D3Publisher,20,0,0,1,22,,,,,
Growlanser: Heritage of War,PS2,2006,Role-Playing,Rising Star Games,11,8,0,3,22,60,7,7.9,9,Career Soft
Ben 10 Alien Force: Vilgax Attacks,X360,2009,Action,D3Publisher,11,9,0,2,22,61,9,8.3,4,Papaya Studios
Imagine: Detective,DS,2009,Simulation,Ubisoft,14,1,0,6,22,,,tbd,,Ubisoft Sao Paulo
Rugby 2004,PS2,2003,Sports,Electronic Arts,11,8,0,3,22,61,13,6.8,65,HB Studios Multimedia
Disney's Magical Quest Starring Mickey and Minnie,GBA,2002,Action,Nintendo,16,6,0,0,22,,,,,
The Amazing Spider-Man 2 (2014),XOne,2014,Action,Activision,12,8,0,2,22,,,,,
Senran Kagura 2: Deep Crimson,3DS,2014,Action,Marvelous Entertainment,10,2,8,1,22,58,28,6.8,56,Tamsoft
NBA 06,PSP,2005,Sports,Sony Computer Entertainment,20,0,0,2,22,72,19,5.4,8,SCEA Sports Studio
KORG DS-10 Synthesizer,DS,2008,Misc,AQ Interactive,19,1,0,2,22,82,11,8.2,13,AQ Interactive
Naruto: Ninja Council,GBA,2003,Action,Tomy Corporation,16,6,0,0,22,60,12,7.1,9,Aspect
DS Nishimura Kyotaro Suspense Shin Tantei Series: Kyoto Atami Zekkai no Kotou - Satsui no Wana,DS,2007,Adventure,Tecmo Koei,0,0,22,0,22,,,,,
Tropico 3,X360,2009,Strategy,Kalypso Media,15,2,3,1,22,75,33,6.6,22,Haemimont
Wreckless: ThE YaKuza MisSiOns,PS2,2002,Racing,Activision,11,8,0,3,22,60,16,tbd,,Stealth Studios
Deadly Creatures,Wii,2009,Action,THQ,8,12,0,2,22,72,45,8.8,36,Rainbow Studios
Naruto Shippuden: Ultimate Ninja Storm Revolution,X360,2014,Fighting,Namco Bandai Games,14,6,0,2,22,62,11,7.3,44,CyberConnect2
CSI: Fatal Conspiracy,Wii,2010,Adventure,Ubisoft,12,8,0,2,22,,,tbd,,Telltale Games
Jikkyou Powerful Major League,PS2,2006,Sports,Konami Digital Entertainment,0,0,22,0,22,,,,,
Dead Island,PC,2011,Action,Deep Silver,12,7,0,3,22,80,24,6.8,1428,Techland
NFL 2K3,GC,2002,Sports,Sega,17,4,0,1,22,92,24,8.3,15,Visual Concepts
Saltwater Sportfishing,PS,2001,Sports,Take-Two Interactive,12,8,0,1,22,,,,,
Hasbro Family Game Night,DS,2009,Puzzle,Electronic Arts,1,19,0,2,22,57,6,tbd,,Electronic Arts
Yoshi Touch & Go (JP sales),DS,2005,Platform,Nintendo,0,0,22,0,22,,,,,
Samurai Jack: The Amulet of Time,GBA,2003,Platform,Zoo Digital Publishing,16,6,0,0,22,63,13,tbd,,Virtucraft
J-League Winning Eleven 2008: Club Championship,PS2,2008,Sports,Konami Digital Entertainment,0,0,22,0,22,,,,,
Sports Car GT,PS,1999,Racing,Electronic Arts,12,8,0,1,22,,,,,
Jackie Chan: Stuntmaster,PS,1999,Action,Sony Computer Entertainment,12,8,0,1,22,,,,,
Hunted: The Demon's Forge,X360,2011,Action,Bethesda Softworks,13,6,0,2,22,61,59,6,116,InXile Entertainment
Scooby-Doo! Mystery Mayhem,GC,2004,Action,THQ,17,4,0,1,22,,,,,
Kanzen Chuuki Pro Yakyuu Greatest Nine,SAT,1995,Sports,Sega,0,0,22,0,22,,,,,
Yu-Gi-Oh! GX: Spirit Caller (American Sales),DS,2006,Misc,Konami Digital Entertainment,18,2,0,2,22,,,,,
Summer Athletics: The Ultimate Challenge (Others sales),Wii,2008,Sports,DTP Entertainment,0,20,0,1,22,,,,,
American Idol,GBA,2003,Misc,Codemasters,15,6,0,0,22,,,4.8,5,Mobius Entertainment
Britney's Dance Beat,GBA,2002,Misc,THQ,15,6,0,0,22,53,14,7.4,5,Art
Shrek SuperSlam,GC,2005,Action,Activision,17,4,0,1,22,70,11,7.8,6,Shaba Games
Full Auto,X360,2006,Shooter,Sega,19,1,0,2,22,70,63,7.8,36,Pseudo Interactive
Sailor Moon,SNES,1993,Action,Namco Bandai Games,0,0,22,0,22,,,,,
Herdy Gerdy,PS2,2002,Adventure,Eidos Interactive,11,8,0,3,22,69,24,5,12,Core Design Ltd.
Pass the Pigs,DS,2008,Misc,THQ,20,0,0,2,22,,,,,
Afrika,PS3,2008,Adventure,Unknown,12,0,8,1,22,63,12,6.2,34,Rhino Studios
The Crew,X360,2014,Racing,Ubisoft,6,14,0,2,22,,,6.4,94,Ivory Tower
G.I. Joe: The Rise of Cobra,Wii,2009,Action,Electronic Arts,17,3,0,2,22,51,11,tbd,,Double Helix Games
